,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
US Population,311721632,314112078,316497531,318857056,321368864,323995528,326625791,329256465,331883986,334503458,337108968,339698079,342267302,344814299,347334912,349825585,352281475,354698370,357072830,359402194,361684740,363919527,366106294,368245560,370338137
POP_DEP,82840576,82503131,82296428,82135602,82109509,82178228,82284937,82410728,82547300,82624346,82772040,83023463,83259014,83463249,83673850,83868421,84024180,84193698,84484144,84767392,85040759,85334627,85631465,85903535,86153476
POP_SNR,41366628,43164909,44723041,46243211,47830245,49420383,51055052,52766466,54556914,56441027,58292098,60221375,62126945,63987872,65919552,67748101,69455598,71098995,72675827,74107408,75245391,76250731,77185290,78138264,79232881
Single Returns,67294506,66655855,68563354,69579590,71086947,71410690,73021932,74164397,75166909,76052548,76951274,77812834,78684040,79565000,80455824,81356621,82267505,83188586,84119980,85061802,86014169,86977199,87951011,88935726,89931466
Joint Returns,56013790,56458434,56796607,55128595,57272012,57201828,57987204,58894443,59690545,60393837,61107520,61791691,62483522,63183098,63890507,64605837,65329175,66060612,66800238,67548145,68304426,69069175,69842485,70624454,71415178
Head of Household Returns,22061944,21814184,21991339,22077498,22134303,21659639,21894095,22236639,22537222,22802762,23072226,23330546,23591759,23855897,24122992,24393077,24666186,24942353,25221612,25503998,25789545,26078289,26370266,26665512,26964064
Number of Returns w/ Gross Security Income,25837226,26480552,27070833,27401498,28087514,28329015,28967603,29938625,30954489,32023496,33073756,34168389,35249571,36305423,37401419,38438901,39407700,40340131,41234793,42047043,42692712,43263121,43793371,44334069,44955133
Number of Dependent Exemptions,99345455,97912393,97691386,96916673,96505181,94809260,94708629,94853412,95010605,95099283,95269277,95558660,95829776,96064847,96307245,96531193,96710470,96905582,97239881,97565894,97880535,98218773,98560428,98873577,99161255
Taxable Interest Income,120111673,111789613,100648711,93894280,95881223,96640233,106055367,110260987,112787090,112466207,113237693,119709978,141618802,135153344,147852133,154815984,163889474,177537258,190618376,202245277,213762942,225505908,235869758,247762924,259464926
Ordinary Dividends,194609806,260393306,214972683,254702232,260252720,254065327,282336042,306497844,321831296,354136702,377564846,396566588,405981865,486659787,515150171,545058961,567900179,588858342,612873413,637573231,662762155,688513549,714925236,742119492,770145226
Business Income (Schedule C),337210620,356450905,357363490,374659000,391975736,389078638,416010104,437315586,442705788,453344344,482933715,497600738,515899055,557091545,581063758,606397707,629717422,651930728,673860338,696045274,719364990,744642199,772699618,802515945,832899662
Business Loss (Schedule C),54240803,52259366,55290946,57400238,60161435,60996610,69637956,73204384,74106676,75887516,80840625,83295809,86358854,93254265,97267090,101507863,105411464,109129857,112800762,116514406,120418007,124649282,129345950,134337050,139423128
Net Capital Gains in AGI,402566646,644856734,504322768,705007630,713598090,634341278,859894631,931642984,869467657,1132676539,2045568233,1265810689,931050838,1350191489,1426380937,1386016320,1348118978,1348612433,1374370783,1412465507,1458356819,1510465664,1566028693,1623960307,1684556577
Taxable Pensions and Annuities,581180358,612544219,638659076,663223262,689991999,693626543,729187412,766221903,797310451,858236906,921526160,941947493,1000550096,1067876880,1120382078,1173190199,1225249668,1281415906,1338594772,1396171765,1453869927,1513701533,1575294418,1639492441,1706966359
Supplemental Income (Schedule E),661331485,777023944,780713118,846331543,891134646,882933054,973306129,1053816820,1082528185,1033289108,1266911839,1337318689,1176617339,1735574582,1780607535,1798072091,1804564151,1801455277,1812747805,1859929538,1939845885,2030186104,2118423261,2205060262,2295080449
Supplemental Loss (Schedule E),175315530,163765597,167171652,166947674,177896945,176446339,206369393,223440016,229527666,219087541,268622399,283550712,249477322,367992620,377540925,381243922,382620429,381961257,384355603,394359512,411304117,430458888,449167748,467537329,486624244
Gross Social Security Income,490699539,526514454,553542772,575126918,605152093,619856114,644989570,679150944,724074374,766551882,801202440,866997736,970949411,1052887790,1119090739,1185782873,1254350213,1326994089,1402083888,1478885831,1556584613,1634854109,1717037081,1803378119,1803378119
Unemployment Compensation,92383693,71234134,51923279,33288898,27225383,25420264,23946035,22098109,20789162,21501384,185297653,28290970,21182616,24177026,30644765,33801638,35341576,36727520,37882473,39114424,40423371,41732318,42964269,44196219,45505166
Wages and Salaries: Zero or Less,21437416,20445434,20280688,19421543,20111022,20544631,20869123,21917664,22959310,23289042,25339583,27482222,28858278,30575148,32069159,33546179,34960404,36436439,37933405,39438991,40979790,42563190,44180328,45861737,47601261
"Wages and Salaries: $1 Less Than $10,000",92961755,93108807,94466204,94899140,91906875,90725454,86507256,90853698,95171558,96538370,105038328,113920054,119624120,126740934,132933950,139056533,144918819,151037318,157242584,163483576,169870538,176434094,183137495,190107318,197318042
"Wages and Salaries: $10,000 Less Than $20,000",265080549,262184682,266041138,261995646,261659142,253415638,247511878,259947782,272301910,276212590,300532405,325944524,342264823,362627229,380346494,397864238,414637230,432143291,449897604,467754137,486028316,504807758,523987322,543929161,564560262
"Wages and Salaries: $20,000 Less Than $30,000",373549061,371577702,380567075,381259619,383184602,382875414,382789227,402021961,421128224,427176282,464788066,504089151,529329292,560820749,588224459,615316507,641256759,668330740,695788652,723404654,751666565,780709891,810372025,841213056,873120063
"Wages and Salaries: $30,000 Less Than $40,000",410623212,408353008,408654349,418567676,428313928,436140082,441282302,463453943,485479786,492452033,535811181,581117768,610214792,646518380,678109584,709341501,739245618,770456707,802110395,833946330,866526874,900008239,934202970,969756742,1006539380
"Wages and Salaries: $40,000 Less Than $50,000",391671646,391349650,410049846,418379915,424369612,426147995,437485582,459466462,481302798,488215057,531201150,576117927,604964605,640955843,672275241,703238444,732885271,763827825,795209170,826771194,859071420,892264717,926165242,961413116,997879281
"Wages and Salaries: $50,000 Less Than $75,000",900170384,902783183,915963625,916618937,952347137,962308451,1000500360,1050769166,1100707412,1116515287,1214821617,1317543290,1383513720,1465823282,1537448658,1608259437,1676059756,1746823313,1818590357,1890770601,1964639066,2040549922,2118078163,2198687700,2282083390
"Wages and Salaries: $75,000 Less Than $100,000",791646425,798324358,822009437,840581301,835434509,852517230,870406373,914138780,957583610,971336004,1056859667,1146224551,1203616917,1275223856,1337535860,1399139190,1458123506,1519685754,1582121006,1644915731,1709179159,1775219408,1842666735,1912794701,1985346539
"Wages and Salaries: $100,000 Less Than $200,000",1521442934,1599743841,1665691829,1759304940,1876094165,1922367424,2015029480,2116271949,2216848662,2248686066,2446677151,2653560834,2786426714,2952199963,3096455027,3239069477,3375620792,3518140135,3662680522,3808053104,3956825798,4109711912,4265855476,4428204837,4596165570
"Wages and Salaries: $200,000 Less Than $500,000",750627685,806518068,872227137,955295796,1055689937,1106449651,1206754121,1267385873,1327618918,1346685596,1465257836,1589155645,1668725919,1768003648,1854394638,1939803104,2021580499,2106932007,2193493871,2280554117,2369650611,2461210536,2554721272,2651948514,2752536277
"Wages and Salaries: $500,000 Less Than $1 Million",230634407,259165177,272996984,310372311,337666673,343994542,379375686,398436911,417372793,423366917,460643297,499593913,524608973,555819603,582978940,609829393,635538322,662370869,689583924,716953659,744963543,773747874,803145494,833711499,865333973
Wages and Salaries: $1 Million and Over,305543960,387803684,346432571,408251028,336316005,310089733,367731740,386207931,404562625,410372775,446505054,484260182,508507471,538760172,565085924,591112272,616032132,642041124,668418946,694948639,722098833,749999703,778495041,808122901,838774807
